
"Station Data"
Network,USUWX
"Station ID",1
"Station Name","USU Environmental Observatory"

"User Options"
"Data Type",dly
Units,english
Time,"local standard"
"Time Info","Local time is reported as Standard Time. These reports do not account for Daylight Savings"
"Missing Variable",M
"Trace Variable",T

"Start Date/End Date"
"Start Date",2018-02-07
"End Date",2025-12-08


date_time,airt_avg,netrad_avg,precip,pressure,rh_max,rh_min,swup_avg,winds_avg,winds_max
2018-02-07,44.2,25.553545455,0,868,52,0,53.111545455,1.566,8.948
2018-02-08,45.7,21.2205,0,864,61,33,83.217791667,2.237,17.448
2018-02-09,48.7,10.910333333,0,855,45,24,61.159208333,3.132,18.119
2018-02-10,34.7,37.422083333,0,855,70,26,122.069,2.684,19.461
2018-02-11,31.5,17.21,0,854,61,32,96.737791667,2.013,12.527
2018-02-12,35.1,23.333416667,0,850,87,39,72.720833333,2.013,9.619
2018-02-13,32.7,36.595583333,0,862,84,47,117.62683333,2.237,8.5
2018-02-14,36.1,8.4404166667,0,857,79,29,59.113541667,2.461,18.567
2018-02-15,30.7,8.2892083333,0.01,861,89,43,52.365291667,2.237,16.33
2018-02-16,27.9,11.309916667,0,863,64,28,79.780416667,3.132,13.198
2018-02-17,42.3,43.595166667,0,857,50,19,115.32283333,2.684,16.553
2018-02-18,37.4,-17.07245833,0.01,844,96,20,5.8270416667,2.237,28.633
2018-02-19,23.2,-41.37270833,0,843,96,64,18.620708333,0.895,7.158
2018-02-20,15.4,-42.5125,0,856,89,51,36.314041667,1.566,17.001
2018-02-21,13.1,-41.19741667,0.06,860,74,52,79.121,3.132,17.224
2018-02-22,16.2,-10.66595833,0,855,90,59,95.844083333,2.461,15.435
2018-02-23,19.4,-16.1935,0,857,92,76,41.446125,1.79,8.053
2018-02-24,20.3,1.0664166667,0,857,88,46,93.023083333,2.237,14.54
2018-02-25,25.2,12.705916667,0.03,859,89,35,152.91108333,2.237,13.422
2018-02-26,32.9,4.2712083333,0.22,852,84,37,81.912416667,2.461,14.764
2018-02-27,27.1,18.115375,0.11,855,95,71,82.05125,1.566,7.829
2018-02-28,24.1,28.791708333,0.11,857,89,44,158.57341667,1.79,15.435
2018-03-01,30.9,3.9952083333,0.01,855,81,43,96.416791667,2.908,14.764
2018-03-02,37.2,-1.897375,0.06,850,97,34,44.678875,3.132,19.685
2018-03-03,28.6,-7.694291667,0.24,851,97,77,64.126375,1.118,8.053
2018-03-04,27.5,2.621625,0.26,855,95,51,81.202541667,2.237,14.764
2018-03-05,28.9,20.27025,0.06,864,75,40,145.16695833,1.566,9.619
2018-03-06,27.7,4.2104166667,0,866,73,41,180.4265,2.013,11.856
2018-03-07,25.5,8.5488333333,0,863,73,50,182.28783333,2.908,21.027
2018-03-08,31.5,10.262375,0,858,87,39,141.843125,1.566,7.382
2018-03-09,41.7,29.318333333,0,854,74,33,145.72391667,1.79,8.277
2018-03-10,40.5,50.654291667,0,858,78,36,185.76745833,1.79,9.619
2018-03-11,39.6,55.625708333,0,861,66,34,155.024375,1.79,9.619
2018-03-12,41.7,87.829625,0,863,82,44,201.91970833,1.79,8.948
2018-03-13,45,70.178541667,0,859,80,35,171.839875,2.684,19.461
2018-03-14,46.4,32.100291667,0.14,850,98,38,74.294625,3.355,29.08
2018-03-15,34.5,40.422083333,0.63,849,98,69,80.558291667,1.342,6.711
2018-03-16,38.8,132.12966667,0.08,851,97,31,210.070125,2.237,13.869
2018-03-17,37.2,41.377333333,0.06,850,91,36,70.059208333,3.132,25.054
2018-03-18,32.2,62.6,0.01,856,87,45,133.73129167,2.684,15.659
2018-03-19,35.2,51.0575,0,861,85,37,136.94220833,2.013,10.514
2018-03-20,39.9,78.7625,0,858,61,27,155.28879167,2.461,12.303
2018-03-21,43.5,65.978666667,0.02,855,79,49,114.42479167,2.684,17.001
2018-03-22,50,35.2235,0.28,853,91,49,62.40325,3.803,25.277
2018-03-23,42.4,107.07925,0.63,855,96,40,137.92245833,2.461,11.856
2018-03-24,41.7,52.139583333,0.01,851,85,37,84.00025,3.355,19.238
2018-03-25,32.7,43.113041667,0.06,852,95,73,53.379041667,1.566,10.29
2018-03-26,32.2,147.317875,0.31,859,93,49,174.572,1.566,15.435
2018-03-27,36.5,176.05083333,0,862,69,30,242.91508333,2.684,15.435
2018-03-28,45.3,141.94041667,0,859,69,22,183.37820833,2.684,18.79
2018-03-29,45.5,159.02083333,0,861,51,29,216.545375,2.461,14.764
2018-03-30,50,168.98829167,0,860,59,28,216.317125,2.013,14.764
2018-03-31,54.1,111.74225,0,857,47,23,148.432625,2.013,18.119
2018-04-01,51.3,176.15818182,0,853,72,27,248.55583333,2.237,15.211
2018-04-02,44.1,20.387083333,0.13,849,91,27,62.11225,3.803,22.369
2018-04-03,34,121.39708333,0,861,51,15,262.75125,2.461,12.527
2018-04-04,45,42.36725,0,859,49,24,91.620625,2.013,10.066
2018-04-05,49.8,66.622291667,0,857,62,29,130.854125,2.461,15.882
2018-04-06,47.3,53.025833333,0.56,853,96,62,76.825583333,1.342,7.829
2018-04-07,49.8,38.973125,0.28,850,93,47,64.72125,2.237,22.369
2018-04-08,43.9,58.143916667,0.07,856,82,45,97.638333333,2.461,17.001
